esta__id
63814
63812
8
61595
61909
63805
63934
62169
62174
16
62504
61801
62400
62432
63725
62023
62505
61642
63821
63799
63830
62420
62179
28
63930
61589
36
15
63427
63818
63792
63826
4
30
63780
63803
61802
63796
63928
63920
63775
23
63795
20
62175
63624
63793
63779
63829
25
63431
61974
1
26
61830
61669
63816
63789
61826
62405
62417
13
22
63589
61962
27
63797
63781
63808
63917
62402
21
62526
5
62541
63723
63485
61798
63864
63603
62398
63807
63593
11
61758
62564
63806
61708
63811
62507
3
63785
63918
62025
63813
63800
62532
63922
62193
63778
17
63931
61699
63801
63722
33
63933
63820
61701
57
63831
61897
63823
63919
63783
35
31
63921
61910
63631
63925
63791
61593
63788
62079
62404
63721
34
63802
32
61970
12
61820
62548
10
63790
61795
18
63817
63824
63804
62558
63718
63798
63784
63777
9
62385
63594
63828
63786
63497
63822
62216
63719
63787
63617
61972
63809
63810
63935
63827
63825
63819
62416
62808
29
2
63932
63923
63865
63724
7
